Address,bMonsters,rMonsters
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/300317?gameHash=55170dc883a36be7,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/300323?gameHash=410b4ede6a0de62b,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/300584?gameHash=994a9f79d13f42d6,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/300586?gameHash=d5741db163533909,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/300587?gameHash=adf333629d99ed10,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/310214?gameHash=986eb7ceaade8aaa,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/310252?gameHash=b14c85d2ec4c7038,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/310256?gameHash=43a704ead2bec3ff,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/100070?gameHash=e991db1141e3a449,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/100072?gameHash=39492a263961999d,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/100080?gameHash=eab634857ae83824,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/100081?gameHash=e526f380996cf4e0,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/100362?gameHash=6e84230ce5f7b226,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/110172?gameHash=fb7c37c00bd18ea2,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/110174?gameHash=0ff43d0000d7eef4,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/120311?gameHash=18c880ab53d1e98c,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/130228?gameHash=9742ac23f04b5fe6,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/130232?gameHash=ca4abfa17927c848,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/20707?gameHash=a7980b8c4707c40a,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/210235?gameHash=da53d1cf5d898737,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/210243?gameHash=3f1e99ba92516368,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/210254?gameHash=2165a0978ca4031b,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/210303?gameHash=8750a1a315fc6419,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/210324?gameHash=cd3b4ef39cbe7f03,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/210330?gameHash=61fa1e5612c50a0e,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/220074?gameHash=f62d764d54d798d6,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/220085?gameHash=999dc4baf8d1e1d2,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/220321?gameHash=5238d7faf0d75dcd,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/220413?gameHash=82af4c1a3a31a1d8,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/230101?gameHash=325300668866d2a5,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/230158?gameHash=cb27797632dd44a6,2,1
