,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills
0,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30105?gameHash=f932becf86175f38,-574,0,1,1,1,0,1,0,1,0,0
1,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30105?gameHash=f932becf86175f38,-574,0,1,1,1,1,0,0,1,0,0
2,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/30133?gameHash=2a7ecaf7380e9d89,1017,0,1,1,5,0,0,1,0,0,1
3,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001000017?gameHash=00a7858e986c8d87,-355,0,1,2,3,0,1,0,0,0,1
4,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010082?gameHash=526656c79ac5b9d1,4281,0,1,1,2,0,0,1,2,1,1
5,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940,-3345,1,0,5,1,0,1,0,1,0,0
6,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940,-3345,1,0,5,1,1,0,0,1,0,0
7,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,5668,0,1,1,6,0,0,1,1,1,1
8,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,1012,1,0,1,3,0,0,1,1,0,0
9,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,-2085,1,0,2,2,1,0,0,1,0,1
10,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,-2085,1,0,2,2,0,0,1,1,0,1
11,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,-2085,1,0,2,2,0,0,1,1,0,1
12,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,-634,0,1,3,2,0,0,1,1,1,1
13,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,-634,0,1,3,2,1,0,0,1,1,1
14,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44,1668,0,1,3,4,1,0,0,0,1,1
15,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,147,1,0,2,1,0,0,1,1,0,0
16,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,-1686,0,1,8,7,0,0,1,0,0,1
17,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,-1686,0,1,8,7,1,0,0,0,0,1
18,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,-1686,0,1,8,7,1,0,0,0,0,1
19,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,-1686,0,1,8,7,0,1,0,0,0,1
20,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396,5003,0,1,1,3,0,0,1,2,2,2
21,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,1114,0,1,1,3,0,1,0,1,0,1
22,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,1114,0,1,1,3,1,0,0,1,0,1
23,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d,-200,1,0,5,6,0,1,0,1,1,0
24,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19,-827,1,0,3,4,0,0,1,0,1,0
25,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19,-827,1,0,3,4,0,1,0,0,1,0
26,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19,-827,1,0,3,4,1,0,0,0,1,0
27,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040096?gameHash=bc68309937870981,-1327,1,0,2,1,0,0,1,1,0,0
28,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040142?gameHash=829819eb50b6fb17,4096,0,1,1,3,1,0,0,1,1,1
29,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040154?gameHash=9272190b156f9bfc,-1705,0,1,1,3,0,1,0,1,0,0
30,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070051?gameHash=3ed5ca8c2fcd81cd,-15,1,0,1,1,1,0,0,0,0,1
31,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070068?gameHash=b1130cf8f9c5e772,1547,0,1,2,2,0,1,0,0,0,1
32,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070082?gameHash=58f8b7117f1a7717,931,0,1,1,1,1,0,0,0,1,1
33,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070082?gameHash=58f8b7117f1a7717,931,0,1,1,1,0,1,0,0,1,1
34,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090016?gameHash=d4307d5d69dea1fe,-3064,1,0,6,3,1,0,0,1,0,0
35,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090016?gameHash=d4307d5d69dea1fe,-3064,1,0,6,3,0,0,1,1,0,0
36,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090016?gameHash=d4307d5d69dea1fe,-3064,1,0,6,3,0,1,0,1,0,0
37,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090037?gameHash=6aa9ab6b55af2223,529,0,1,3,1,1,0,0,0,0,1
38,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080064?gameHash=2cbe38094f0d00e3,-316,1,0,2,2,0,0,1,1,0,1
39,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080064?gameHash=2cbe38094f0d00e3,-316,1,0,2,2,1,0,0,1,0,1
40,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080068?gameHash=86b3fe64916e9424,-84,0,1,1,1,0,0,1,1,0,1
41,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080068?gameHash=86b3fe64916e9424,-84,0,1,1,1,1,0,0,1,0,1
42,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090105?gameHash=bfad7537e1591dbb,267,0,1,1,2,1,0,0,0,0,1
43,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080201?gameHash=1ffd232009cc61a5,-970,1,0,6,4,0,0,1,1,0,0
44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080211?gameHash=0abe526de3932809,-1463,0,1,3,1,0,0,1,1,0,0
45,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080211?gameHash=0abe526de3932809,-1463,0,1,3,1,1,0,0,1,0,0
46,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190046?gameHash=a5ac7b41ef215beb,-2998,1,0,5,1,1,0,0,0,1,0
47,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180104?gameHash=a48365f487fb1750,368,1,0,5,6,0,0,1,1,0,0
48,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180113?gameHash=74539c15384418b4,1597,0,1,3,3,1,0,0,1,0,1
49,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200033?gameHash=037bf9c7473334ac,2959,0,1,1,3,1,0,0,1,0,1
50,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200067?gameHash=b9e59980115f03d2,3381,1,0,1,5,0,0,1,1,0,1
51,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200083?gameHash=095f04e06c7fe592,660,1,0,3,3,1,0,0,0,0,1
52,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210086?gameHash=80e7bfda914fd0c9,-760,1,0,3,3,0,0,1,0,1,1
53,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210086?gameHash=80e7bfda914fd0c9,-760,1,0,3,3,0,1,0,0,1,1
54,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210086?gameHash=80e7bfda914fd0c9,-760,1,0,3,3,1,0,0,0,1,1
55,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210134?gameHash=6a76db40b8416e0b,-454,1,0,5,6,1,0,0,0,0,1
56,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210134?gameHash=6a76db40b8416e0b,-454,1,0,5,6,0,1,0,0,0,1
57,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210139?gameHash=778895bd05d45d7b,-3044,1,0,5,1,1,0,0,0,0,1
58,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210144?gameHash=00bad4da4d94bdbf,2070,0,1,4,4,1,0,0,1,0,1
59,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220097?gameHash=c970fe797f7c7fbc,1568,1,0,2,5,0,0,1,1,1,0
